INDEX,ra,RA,dec,DEC,Luminosity,Mass_UMS,Mass_Luminosity,Log (M/L),Angular_Seperation
530311,83.38882394510868,83.388824,-69.31155044699885,-69.311554,235.67081044844983,4.762134483608916,0.02020672171724286,-1.69450413950781,0.9053641709106917
530311,83.38757284158474,83.38757,-69.31132744982247,-69.311325,206.92728433100544,4.588409989794578,0.022174021200871977,-1.6541555415725422,0.905747173190026
530311,83.26738504391234,83.26739,-69.1579029386524,-69.157906,412.03226206406254,5.586286514778406,0.013557886187829276,-1.8678080161121628,0.9342317188071319
530311,83.34139950441259,83.3414,-69.19309045102682,-69.19309,207.15860970532646,4.589874951832069,0.02215633208950839,-1.654502134066962,0.9153158896200811
530311,83.27306895760088,83.27307,-69.15995677161787,-69.15996,219.43738392801816,4.666012421413561,0.021263525557450817,-1.672364726491627,0.9329339825400852
530311,83.26724596726507,83.26724,-69.16196116789199,-69.161964,153.49047499703983,4.213031383929094,0.027448161744305925,-1.5614867357689708,0.9342091124579477
530311,83.26197320299082,83.26197,-69.1642741311792,-69.164276,464.83642193605226,5.78210211157632,0.012439003999501068,-1.9052143925421294,0.9353339632360024
530311,83.27009833486441,83.270096,-69.1658480137923,-69.16585,848.4032716975576,6.86662806443909,0.008093589798044691,-2.0918588104411246,0.9335324960025561
530311,83.47619712078597,83.4762,-69.31587252858648,-69.31587,218.0831032775763,4.657766570479546,0.02135775995699739,-1.670444298896761,0.8746334072448173
530311,83.274037486686,83.27404,-69.18498463927287,-69.18498,775.4591202162577,6.692498144619171,0.008630368732722864,-2.063970648645645,0.9325425983829988
530311,83.27209705249564,83.272095,-69.18702839761592,-69.18703,335.3838798229718,5.267244535837284,0.01570512136307068,-1.8039587031936362,0.9329800084209157
530311,83.26417247276831,83.264175,-69.18867290771767,-69.188675,157.23518004901126,4.242146230464781,0.026979625228542845,-1.5689640873663482,0.9347342717806228
530311,83.47743162715504,83.47743,-69.318965816215,-69.31896,179.07049186218794,4.402720850971205,0.024586523470095368,-1.6093028760800756,0.8744085606286341
530311,83.12207052005635,83.12207,-69.24592299708439,-69.245926,171.57502870563272,4.349260809207528,0.025349031511278097,-1.5960386287307453,0.957449445706488
530311,83.12487028754576,83.12487,-69.24539490526526,-69.24539,241.58550371969994,4.795980313175556,0.01985210304149748,-1.7021934792818054,0.9571774649125798
